,State,City,place,type,time needed to visit in hrs,ratings,Entrance Fee in INR,Weekly Off,Best Time to visit
24,Maharastra,Mumbai,Essel World,Amusement Park,5,4.3,1149,None,All
25,Maharastra,Mumbai,Elephanta Caves,Monument,4,4.3,550,None,All 
26,Maharastra,Lonavala,Imagicaa,Amusement Park,5,1.4,1149,Monday,All
27,Karnataka,Bangalore,Bangalore Palace,Palace,2,4.2,500,Monday,Morning
28,Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden,1.5,4.4,20,None,Evening
29,Karnataka,Bangalore,Cubbon Park,Park,1,4.4,0,None,Morning
30,Karnataka,Bangalore,Vidhana Soudha,Government Building,0.5,4.6,0,None,Morning
31,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,1,4.6,0,None,Evening
32,Telangana,Hyderabad,Charminar,Landmark,1,4.5,25,Friday,Morning
33,Telangana,Hyderabad,Golconda Fort,Fort,2,4.4,30,None,Morning
34,Telangana,Hyderabad,Hussain Sagar Lake,Lake,1,4.3,0,None,Evening
35,Telangana,Hyderabad,Ramoji Film City,Film Studio,4,4.4,1150,None,All
36,Telangana,Hyderabad,Salar Jung Museum,Museum,2,4.4,20,None,All
37,Telangana,Hyderabad,Qutb Shahi Tombs,Tombs,1,4.4,25,None,Morning
38,Telangana,Hyderabad,Birla Mandir,Temple,1,4.7,0,None,All
39,Telangana,Hyderabad,Chowmahalla Palace,Palace,1.5,4.4,80,None,Morning
40,Telangana,Hyderabad,Nehru Zoological Park,Zoo,3,4.2,50,None,Morning
41,Telangana,Hyderabad,Lumbini Park,Park,1,4.1,20,None,Evening
42,West Bengal,Kolkata,Victoria Memorial,Museum,1.5,4.6,30,Monday,Morning
43,West Bengal,Kolkata,Howrah Bridge,Bridge,0.5,4.6,0,None,Anytime
44,West Bengal,Kolkata,Indian Museum,Museum,2,4.6,50,Monday,Morning
45,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,1,4.7,0,None,Morning
46,West Bengal,Kolkata,Kalighat Kali Temple,Temple,1,4.4,0,None,Morning
47,West Bengal,Kolkata,Eden Gardens,Cricket Ground,3,4.1,2500,None,All
48,West Bengal,Kolkata,Alipore Zoological Gardens,Zoo,2,4.3,25,None,Afternoon
49,West Bengal,Kolkata,Science City Kolkata,Science,3,4.4,60,None,All
50,West Bengal,Kolkata,Belur Math,Site,1.5,4.7,0,None,Morning
51,West Bengal,Kolkata,Marble Palace,Palace,1,4.4,0,None,Afternoon
52,Goa,Goa,Calangute Beach,Beach,2,4.4,0,None,Evening
53,Goa,Goa,Basilica of Bom Jesus,Church,1,4.5,0,None,Afternoon
54,Goa,Goa,Fort Aguada,Fort,1.5,4.2,0,None,Morning
55,Goa,Goa,Dudhsagar Falls,Waterfall,3,4.6,500,None,Afternoon
56,Goa,Goa,Anjuna Beach,Beach,2,4.4,0,None,Evening
57,Goa,Goa,Chapora Fort,Fort,1,4.2,0,None,Evening
58,Goa,Goa,Se Cathedral,Church,1,4.5,0,None,Afternoon
59,Goa,Goa,Baga Beach,Beach,2,4.5,0,None,Evening
60,Goa,Goa,Arambol Beach,Beach,2,4.6,0,None,Evening
61,Goa,Goa,Palolem Beach,Beach,2,4.6,0,None,Evening
62,Goa,Goa,Colva Beach,Beach,2,4.3,0,None,Evening
63,Goa,Goa,Miramar Beach,Beach,1.5,4.2,0,None,Evening
64,Goa,Goa,Aguada Beach,Beach,2,4.5,0,None,Evening
65,Goa,Goa,Dr. Salim Ali Bird Santuary,Bird Sanctuary,2,3.9,10,None,Afternoon
66,Gujarat,Ahmedabad,Sabarmati Ashram,Historical,1.5,4.6,0,None,Morning
67,Gujarat,Dwarka,Dwarkadhish Temple,Temple,2,4.7,0,None,Evening
68,Gujarat,Junagadh,Gir National Park,National Park,3,4.5,3500,None,Morning
69,Gujarat,Bhuj,White Desert,Site,2.5,4.6,0,None,Evening
70,Gujarat,Vadodara,Laxmi Vilas Palace,Palace,2,4.4,200,Monday,Afternoon
71,Gujarat,Somnath,Somnath Temple,Temple,2,4.8,0,None,Morning
72,Gujarat,Rann of Kutch,Rann Utsav,Cultural,3,4.9,7500,None,Evening
73,Gujarat,Kevadia,Statue of Unity,Monument,3,4.6,350,Monday,All
74,Gujarat,Gandhinagar,Dandi Kutir,Museum,1.5,4.5,0,None,All
75,Gujarat,Ahmedabad,Sabarmati Riverfront,Urban Development Project,1,4.6,0,None,Evening
76,Gujarat,Ahmedabad,Manek Chowk,Market,2,4.4,0,None,Night
77,Gujarat,Ahmedabad,Kankaria Lake,Lake,3,4.5,10,None,Afternoon
78,Gujarat,Ahmedabad,Science City,Science,7,4.4,500,Monday,All
79,Rajasthan,Jaipur,Hawa Mahal,Palace,1,4.4,50,None,Morning
80,Rajasthan,Udaipur,City Palace,Palace,2,4.4,300,None,All
81,Rajasthan,Jaisalmer,Jaisalmer Fort,Fort,2.5,4.4,50,None,All
82,Rajasthan,Sawai Madhopur,Ranthambore National Park,Wildlife Sanctuary,3,4.6,500,None,All
83,Rajasthan,Pushkar,Pushkar Lake,Temple,1.5,4.4,0,None,All
84,Rajasthan,Ajmer,Ajmer Sharif Dargah,Shrine,1,4.6,0,None,All
85,Rajasthan,Jodhpur,Mehrangarh Fort,Fort,2,4.6,100,None,All
86,Rajasthan,Chittorgarh,Chittorgarh Fort,Fort,2,4.6,40,None,All
87,Rajasthan,Mount Abu,Dilwara Temples,Temple,1,4.6,0,None,All
88,Rajasthan,Bikaner,Junagarh Fort,Fort,2,4.5,50,None,All
89,Rajasthan,Jaipur,Amber Fort,Fort,2,4.6,100,None,All
90,Rajasthan,Jaipur,Jaigarh Fort,Fort,1.5,4.5,35,None,All
91,Rajasthan,Udaipur,Lake Pichola,Lake,1,4.6,0,None,All
92,Punjab,Amritsar,Golden Temple (Harmandir Sahib),Religious Site,1.5,4.9,0,None,All
93,Punjab,Amritsar,Jallianwala Bagh,Memorial,1,4.8,0,None,Afternoon
94,Punjab,Amritsar,Wagah Border,Border Crossing,2,4.8,0,None,Evening
95,Punjab,Chandigarh,Rock Garden,Sculpture Garden,2,4.5,30,None,All
96,Kerala,Alappuzha,Alappuzha Beach,Beach,1.5,4.5,0,None,All
97,Kerala,Munnar,Munnar Tea Gardens,Scenic Area,2,4.3,0,None,All
98,Kerala,Kochi,Fort Kochi,Site,1,4.4,0,None,All
99,Kerala,Thiruvananthapuram,Padmanabhaswamy Temple,Temple,1,4.7,0,None,All
100,Kerala,Kozhikode,Kozhikode Beach,Beach,1.5,3.9,0,None,All
101,Kerala,Wayanad,Wayanad Wildlife Sanctuary,Wildlife Sanctuary,3,4.5,300,None,All
102,Kerala,Thekkady,Periyar National Park,National Park,3,4.3,50,None,All
103,Kerala,Kumarakom,Kumarakom Bird Sanctuary,Bird Sanctuary,2,3.8,50,None,All
104,Kerala,Varkala,Varkala Beach,Beach,2,4.6,0,None,All
105,Kerala,Bekal,Bekal Fort,Fort,1.5,4.5,20,None,All
106,Kerala,Kovalam,Kovalam Beach,Beach,2,4.4,0,None,All
107,Kerala,Kannur,St. Angelo Fort,Fort,1,4.4,20,None,All
108,Kerala,Nelliyampathy,Seethargundu Viewpoint,Viewpoint,1,4.5,0,None,Morning
109,Kerala,Kochi,Kerala Folklore Museum,Cultural,1.5,4.4,100,Monday,All
110,Kerala,Kochi,Wonderla Amusement Park,Amusement Park,5.5,4.6,750,None,All
111,Karnataka,Mysore,Mysore Palace,Palace,2,4.6,50,None,All
112,Karnataka,Hampi,Hampi Archaeological Ruins,Site,3,4.7,0,None,All
113,Karnataka,Coorg,Abbey Falls,Waterfall,1,4.1,0,None,Morning
114,Karnataka,Gokarna,Om Beach,Beach,2,4.5,0,None,All
115,Karnataka,Chikmagalur,Mullayanagiri,Mountain Peak,3,4.5,0,None,All
116,Karnataka,Badami,Badami Cave Temples,Cave,1.5,4.6,30,None,All
117,Karnataka,Shivamogga,Jog Falls,Waterfall,1.5,4.6,30,None,Morning
118,Karnataka,Mangalore,Panambur Beach,Beach,1.5,4.5,0,None,All
119,Karnataka,Murudeshwar,Murudeshwar Temple,Temple,1,4.7,0,None,All
120,Karnataka,Bijapur,Gol Gumbaz,Mausoleum,1.5,4.5,20,None,All
121,Karnataka,Bandipur,Bandipur National Park,National Park,3,4.4,300,None,Morning
122,Karnataka,Halebidu,Halebidu Hoysaleswara Temple,Temple,1,4.7,15,None,All
123,Maharastra,Pune,Shaniwar Wada,Fort,2,4.4,50,None,All
124,Maharastra,Aurangabad,Ajanta Caves,Cave,3,4.6,30,Monday,Afternoon
125,Maharastra,Nashik,Sula Vineyards,Vineyard,2,4.1,300,None,Afternoon
126,Maharastra,Shirdi,Sai Baba Temple,Temple,1.5,4.7,0,None,All
127,Maharastra,Alibaug,Alibaug Beach,Beach,1.5,4.2,0,None,Evening
128,Maharastra,Ratnagiri,Ganapatipule Temple,Temple,1,4.7,0,None,All
129,Maharastra,Nagpur,Deekshabhoomi,Monument,1,4.5,0,None,Afternoon
130,Maharastra,Kolhapur,Mahalakshmi Temple,Temple,1,4.8,0,None,All
131,Maharastra,Lonavala,Karla Caves,Cave,1.5,4.4,25,Yes,Afternoon
132,Maharashtra,Tarkarli,Tarkarli Beach,Beach,2,4.6,0,None,Evening
133,Maharashtra,Satara,Kaas Plateau,Valley,2,4.4,300,None,Afternoon
134,Maharashtra,Matheran,Echo Point,Viewpoint,1.5,4.4,0,None,Morning
135,Maharashtra,Ajanta,Ellora Caves,Cave,3,4.7,30,Tuesday,Afternoon
136,Madhya Pradesh,Khajuraho,Khajuraho Group of Monuments,Temples,2,4.7,40,None,Afternoon
137,Madhya Pradesh,Bhopal,Sanchi Stupa,Monument,1.5,4.7,30,None,Afternoon
138,Madhya Pradesh,Indore,Rajwada Palace,Palace,1,4.4,10,None,Afternoon
139,Madhya Pradesh,Gwalior,Gwalior Fort,Fort,2.5,4.5,75,None,Morning
140,Madhya Pradesh,Ujjain,Mahakaleshwar Jyotirlinga,Temple,1.5,4.8,0,None,All
141,Madhya Pradesh,Jabalpur,Dhuandhar Falls,Waterfall,1,4.5,0,None,Morning
142,Madhya Pradesh,Pachmarhi,Bee Falls,Waterfall,1.5,4.6,15,None,Morning
143,Madhya Pradesh,Kanha,Kanha National Park,Wildlife Sanctuary,3,4.5,100,None,Morning
144,Madhya Pradesh,Bandhavgarh,Bandhavgarh National Park,National Park,3,4.5,50,None,Morning
145,Madhya Pradesh,Orchha,Orchha Fort,Fort,1.5,4.8,10,None,Afternoon
146,Madhya Pradesh,Mandu,Jahaz Mahal,Site,1,3.9,50,None,Afternoon
147,Madhya Pradesh,Bhimbetka,Bhimbetka Rock Shelters,Prehistoric Site,2,4.6,25,None,Afternoon
148,Madhya Pradesh,Amarkantak,Narmada Udgam Temple,Temple,1,4.4,0,None,All
149,Madhya Pradesh,Chitrakoot,Chitrakoot Falls,Waterfall,1.5,4.4,0,None,Morning
150,Himachal Pradesh,Shimla,The Ridge,Scenic Point,1,4.7,0,None,Morning
151,Himachal Pradesh,Manali,Solang Valley,Valley,2,4.1,0,None,Morning
152,Himachal Pradesh,dalhousie,Dalai Lama Temple,Temple,1.5,4.7,0,None,All
153,Himachal Pradesh,Dalhousie,Khajjiar Lake,Lake,1.5,4.5,0,None,Morning
154,Himachal Pradesh,Spiti Valley,Key Monastery,Monastery,1,4.8,0,None,Morning
155,Himachal Pradesh,Kullu,Great Himalayan National Park,National Park,3,4.5,50,None,All
156,Himachal Pradesh,Chamba,Chamera Lake,Lake,2,4.4,0,None,Morning
157,Himachal Pradesh,Kinnaur,Sangla Valley,Valley,2,4.5,0,None,Morning
158,Himachal Pradesh,Kangra,Kangra Fort,Fort,2,4.4,150,None,All
159,Himachal Pradesh,Palampur,Tea Gardens,Tea Plantation,1.5,4.6,0,None,Morning
160,Himachal Pradesh,Mandi,Prashar Lake,Lake,1.5,4.6,0,None,Morning
161,Himachal Pradesh,Bir Billing,Paragliding Site,Adventure Sport,2,4.8,2500,None,All
162,Himachal Pradesh,McLeod Ganj,Triund Trek,Trekking,5,4.8,0,None,Morning
163,Himachal Pradesh,Manikaran,Manikaran Sahib,Gurudwara,1,4.6,0,None,Morning
164,Himachal Pradesh,Narkanda,Hatu Peak,Viewpoint,2,4.5,0,None,All
165,Himachal Pradesh,Barot,Barot Valley,Valley,2,4.7,0,None,Morning
166,Himachal Pradesh,Shoja,Serolsar Lake,Lake,2.5,4.4,0,None,Morning
167,Himachal Pradesh,Kufri,Kufri Fun World,Ski Resort,5,3.8,1500,None,All
168,Uttarakhand,Nainital,Naini Lake,Lake,1.5,4.2,0,None,Morning
169,Uttarakhand,Rishikesh,Laxman Jhula,Suspension Bridge,1,4.4,0,None,Morning
170,Uttarakhand,Haridwar,Har Ki Pauri,Ghat,1,4.5,0,None,All
171,Uttarakhand,Dehradun,Robber's Cave,Cave,1.5,4.5,25,None,Morning
172,Uttarakhand,Mussoorie,Kempty Falls,Waterfall,1.5,4.2,15,None,Morning
173,Uttarakhand,Auli,Auli Ski Resort,Ski Resort,3,4.5,0,None,Morning
174,Uttarakhand,Badrinath,Badrinath Temple,Temple,1,4.8,0,None,All
175,Uttarakhand,Almora,Binsar Wildlife Sanctuary,Wildlife Sanctuary,2,4.3,150,None,All
176,Uttarakhand,Ranikhet,Chaubatia Gardens,Orchard,1,4,50,None,All
177,Uttarakhand,Jim Corbett,Jim Corbett National Park,National Park,3,4.4,100,None,All
178,Uttarakhand,Uttarkashi,Gangotri Temple,Temple,1,4.8,0,None,All
179,Uttarakhand,Chopta,Tungnath Temple,Temple,2,4.8,0,None,All
180,Uttarakhand,Joshimath,Valley of Flowers,National Park,5,4.7,150,None,Morning
181,Uttar Pradesh,Agra,Taj Mahal,Mausoleum,2,4.6,50,Friday,Morning
182,Uttar Pradesh,Varanasi,Kashi Vishwanath Temple,Temple,1,4.7,0,None,All
183,Uttar Pradesh,Lucknow,Bara Imambara,Monument,1.5,4.4,50,Monday,All
184,Uttar Pradesh,Mathura,Krishna Janmabhoomi,Temple,1,4.7,0,None,All
185,Uttar Pradesh,Ayodhya,Ram Janmabhoomi,Religious Site,1,4.8,0,None,All
186,Uttar Pradesh,Vrindavan,Banke Bihari Temple,Temple,1,4.8,0,None,All
187,Uttar Pradesh,Allahabad,Triveni Sangam,Confluence,1,4.5,0,None,Morning
188,Uttar Pradesh,Jhansi,Jhansi Fort,Fort,1.5,4.4,15,None,All
189,Uttar Pradesh,Sarnath,Dhamek Stupa,Monument,1,4.6,5,None,All
190,Uttar Pradesh,Fatehpur Sikri,Buland Darwaza,Monument,2,4.4,40,None,Afternoon
191,Uttar Pradesh,Noida,Okhla Bird Sanctuary,Bird Sanctuary,1.5,4.3,30,None,All
192,Uttar Pradesh,Aligarh,Aligarh Fort,Fort,1,4.1,20,None,Afternoon
193,Uttar Pradesh,Meerut,Augarnath Temple,Temple,1,4.8,0,None,All
194,Uttar Pradesh,Kanpur,Allen Forest Zoo,Zoo,2,4.2,150,Monday,All
195,Jammu and Kashmir,Srinagar,Dal Lake,Lake,2,4.6,0,None,Morning
196,Ladakh,Leh,Pangong Tso,Lake,2,4.9,20,None,Morning
197,Jammu and Kashmir,Pahalgam,Betaab Valley,Valley,2,4.6,100,None,All
198,Jammu and Kashmir,Jammu,Vaishno Devi,Temple,5,4.7,0,None,All
199,Jammu and Kashmir,Udhampur,Patnitop Height,Hill,2,4.1,0,None,All
200,Jammu and Kashmir,Anantnag,Amarnath Cave,Temple,6,4.5,0,None,All
201,Ladakh,Leh,Thiksey Monastery,Monastery,1.5,4.7,20,None,All
202,Ladakh,Nubra Valley,Nubra Valley,Valley,2,4.5,0,None,All
203,Ladakh,Kargil,Kargil War Memorial,War Memorial,1,4.8,0,None,All
204,Ladakh,Diskit,Diskit Monastery,Monastery,1,4.7,20,None,Morning
205,Jammu and Kashmir,Kishtwar,Kishtwar National Park,National Park,3,4.3,100,None,All
206,Ladakh,Hemis,Hemis National Park,National Park,4,4.4,20,None,All
207,Ladakh,Dras,Dras War Memorial,War Memorial,1,4.8,0,None,All
208,Ladakh,Leh,Magnetic Hill,Gravity Hill,0.5,3.7,0,None,All
209,Ladakh,Leh,Khardung La Pass,Hill,1,4.5,0,None,Afternoon
210,Ladakh,Leh,Thiksey Monastery,Monastery,1.5,4.7,30,None,All
211,Uttar Pradesh,Vrindavan,Prem Mandir,Temple,1.5,4.8,0,None,Evening
212,Uttar Pradesh,Porbandar,Kirti Mandir,Memorial,1,4.8,0,None,Morning
213,Uttar Pradesh,Mathura,Nand Gaon,Village,1,4.1,0,None,Morning
214,Uttar Pradesh,Mathura,Barsana Mandir,Temple,1,4.8,0,None,Morning
215,West Bengal,Darjeeling,Tiger Hill,Sunrise Point,1,4.5,0,None,All
216,West Bengal,Siliguri,Jaldapara National Park,Wildlife Sanctuary,3,4.4,250,None,All
217,West Bengal,Sundarbans,Sundarbans National Park,National Park,4,4.4,60,None,All
218,West Bengal,Digha,Digha Beach,Beach,1.5,4.5,0,None,Morning
219,West Bengal,Murshidabad,Hazarduari Palace,Palace,1.5,4.5,10,Friday,Morning
220,West Bengal,Bolpur,Kankalitala Temple,Temple,0.5,4.7,0,None,All
221,West Bengal,Hooghly,Hangseswari Temple,Temple,0.5,4.6,0,None,All
222,West Bengal,Jalpaiguri,Gorumara National Park,National Park,3,4.4,100,None,All
223,West Bengal,Cooch Behar,Cooch Behar Palace,Palace,1,4.5,20,Friday,All
224,West Bengal,Purulia,Ayodhya Hills,Hill,2.5,4.5,0,None,All
225,Odisha,Puri,Jagannath Temple,Temple,2,4.7,0,None,All
226,Odisha,Konark,Sun Temple,Temple,1.5,4.7,40,None,All
227,Odisha,Bhubaneswar,Lingaraj Temple,Temple,1,4.6,0,None,All
228,Odisha,Rourkela,Khandadhar Waterfall,Waterfall,1.5,4.5,0,None,All
229,Odisha,Cuttack,Barabati Fort,Fort,1,4.5,0,None,All
230,Odisha,Sambalpur,Hirakud Dam,Dam,1,4.5,0,None,All
231,Odisha,Chilika,Chilika Lake,Lake,2,3.9,0,None,Morning
232,Odisha,Berhampur,Tara Tarini Temple,Temple,1,4.6,0,None,All
233,Odisha,Keonjhar,Badaghagara Waterfall,Waterfall,1,4.3,0,None,Morning
234,Odisha,Balasore,Chandipur Beach,Beach,1.5,4.2,0,None,Morning
235,Odisha,Kendujhar,Sanaghagara Waterfall,Waterfall,1,4.4,0,None,All
236,Tamil Nadu,Chennai,Marina Beach,Beach,1.5,3.9,0,None,Morning
237,Tamil Nadu,Madurai,Meenakshi Amman Temple,Temple,2,4.7,0,None,All
238,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,1.5,4.6,0,None,All
239,Tamil Nadu,Kanyakumari,Vivekananda Rock Memorial,Memorial,1,4.6,20,None,Morning
240,Tamil Nadu,Ooty,Ooty Lake,Lake,1,4.1,10,None,Morning
241,Tamil Nadu,Coimbatore,Marudamalai Temple,Temple,1,4.7,0,None,All
242,Tamil Nadu,Kodaikanal,Kodaikanal Lake,Lake,2,3.9,0,None,Morning
243,Tamil Nadu,Thanjavur,Brihadeeswarar Temple,Temple,1.5,4.8,0,None,All
244,Tamil Nadu,Mahabalipuram,Shore Temple,Temple,1,4.6,40,None,All
245,Tamil Nadu,Yercaud,Yercaud Lake,Lake,1,4.2,0,None,Morning
246,Tamil Nadu,Tirunelveli,Nellaiappar Temple,Temple,1,4.6,0,None,All
247,Tamil Nadu,Chidambaram,Nataraja Temple,Temple,1,4.7,0,None,All
248,Andhra Pradesh,Vijayawada,Kanaka Durga Temple,Temple,1,4.7,0,None,All
249,Andhra Pradesh,Visakhapatnam,Rishikonda Beach,Beach,1.5,4.5,0,None,Morning
250,Andhra Pradesh,Srisailam,Mallikarjuna Swamy Temple,Temple,1,4.7,0,None,All
251,Andhra Pradesh,Rajahmundry,Papikondalu,Hill,2,4.3,0,None,All
252,Andhra Pradesh,Anantapur,Lepakshi,Site,1.5,4.6,0,None,All
253,Andhra Pradesh,Kurnool,Belum Caves,Cave,1.5,4.4,65,None,Afternoon
254,Andhra Pradesh,Amravati,Amaravathi Temple,Temple,1,4.7,0,None,All
255,Andhra Pradesh,Guntur,Uppalapadu Bird Sanctuary,Bird Sanctuary,1,4.4,10,None,All
256,Andhra Pradesh,Kadapa,Gandikota Fort,Fort,1.5,4.5,0,None,Morning
257,Andhra Pradesh,Puttaparthi,Prasanthi Nilayam,Spiritual Center,1,4.7,0,None,All
258,Andhra Pradesh,Vizianagaram,Simhachalam Temple,Temple,1,4.7,0,None,All
259,Andhra Pradesh,Visakhapatnam,Kailasagiri,Hill,2,4.5,0,None,All
260,Andhra Pradesh,Visakhapatnam,Submarine Museum,Museum,1,4.6,40,None,All
261,Andhra Pradesh,Visakhapatnam,Borra Caves,Cave,2,4.5,60,None,Afternoon
262,Andhra Pradesh,Visakhapatnam,War Memorial,War Memorial,1,4.6,0,None,All
263,Andhra Pradesh,Visakhapatnam,Indira Gandhi Zoological Park,Zoo,2,4.1,20,Monday,Afternoon
264,Andhra Pradesh,Visakhapatnam,Matsyadarshini Aquarium,Aquarium,1,3.8,20,None,All
265,Andhra Pradesh,Visakhapatnam,Visakha Museum,Museum,1,4.3,10,None,All
266,Sikkim,Gangtok,Nathula Pass,Hill,2,4.3,20,None,Afternoon
267,Sikkim,Pelling,Pemayangtse Monastery,Monastery,1,4.6,20,None,Morning
268,Sikkim,Namchi,Char Dham,Religious Complex,2,4.7,50,None,All
269,Sikkim,Gangtok,Rumtek Monastery,Monastery,1,4.6,10,None,Morning
270,Sikkim,Ravangla,Buddha Park,Park,1,4.8,50,None,All
271,Sikkim,Gangtok,Baba Harbhajan Singh Temple,Temple,1,4.7,0,None,All
272,Sikkim,Gangtok,Tsomgo Lake,Lake,2,4.5,0,None,Morning
273,Assam,Guwahati,Kamakhya Temple,Temple,2,4.6,0,None,All
274,Assam,Kaziranga,Kaziranga National Park,National Park,3,4.5,650,None,Morning
275,Assam,Guwahati,Umananda Island,Island,1,4.1,0,None,Morning
276,Assam,Sivasagar,Sivasagar Sivadol,Temple,1,4.7,0,None,All
277,Assam,Majuli,Majuli Island,River Island,2,4.7,0,None,Morning
278,Assam,Manas,Manas National Park,National Park,3,4.6,500,None,Morning
279,Assam,Hajo,Hayagriva Madhava Temple,Temple,1,4.5,0,None,All
280,Assam,Guwahati,Pobitora Wildlife Sanctuary,Wildlife Sanctuary,2,4.4,500,None,All
281,Arunachal Pradesh,Tawang,Tawang Monastery,Monastery,2,4.7,0,None,Morning
282,Tripura,Agartala,Ujjayanta Palace,Palace,1.5,4.5,10,Monday,All
283,Tripura,Dumboor,Dumboor Lake,Lake,1,4.5,0,None,Morning
284,Tripura,Unakoti,Unakoti Rock Carvings,Rock Carvings,1.5,4.5,20,None,Morning
285,Chhattisgarh,Bastar,Chitrakote Falls,Waterfall,1.5,4.6,0,None,Morning
286,Nagaland,Dzükou Valley,Dzükou Valley,Valley,3,4.7,0,None,Afternoon
287,Puducherry,Puducherry,Promenade Beach,Beach,1,4.5,0,None,Morning
288,Puducherry,Auroville,Auroville,Township,2,4.1,0,None,All
289,Puducherry,Puducherry,Paradise Beach,Beach,1,4.5,200,None,Morning
290,Andaman and Nicobar Islands,Port Blair,Cellular Jail,Landmark,1.5,4.7,30,Monday,Afternoon
291,Andaman and Nicobar Islands,Havelock Island,Radhanagar Beach,Beach,1,4.8,0,None,Morning
292,Andaman and Nicobar Islands,Neil Island,Bharatpur Beach,Beach,1,4.5,0,None,Morning
293,Andaman and Nicobar Islands,Baratang Island,Limestone Caves,Natural Feature,1.5,4.4,250,None,Morning
294,Daman and Diu,Diu,Naida Caves,Cave,1,4.5,0,None,Afternoon
295,Daman and Diu,Diu,Diu Fort,Fort,1.5,4.6,0,None,Afternoon
296,Jharkhand,Deoghar,Baba Baidyanath Temple,Temple,1,4.7,0,None,All
297,Jharkhand,Ranchi,Pahari Mandir,Temple,1,4.6,0,None,All
298,Bihar,Bodh Gaya,Mahabodhi Temple,Temple,1.5,4.7,0,None,All
299,Bihar,Patna,Sanjay Gandhi Biological Park,Zoo,2.5,4.3,30,None,All
300,Bihar,Patna,Takhat Shri Harimandir Ji Patna Sahib,Gurudwara,1,4.7,0,None,All
301,Bihar,Patna,Budhha Smriti Park,Park,1,4.4,10,None,All
302,Haryana,Gurugram,Kingdom of Dreams,Entertainment,3,4.4,1100,Monday,Afternoon
303,Haryana,Gurugram,Ambience Mall,Mall,2,4.6,0,None,Afternoon
304,Haryana,Gurugram,DLF CyberHub,Commercial Complex,2,4.7,0,None,Afternoon
305,Delhi,New Delhi,Gurudwara Bangla Sahib,Gurudwara,1,4.8,0,None,All
306,Uttarakhand,Kedarnath,Kedarnath,Temple,1.5,4.8,0,None,All
307,Uttar Pradesh,Noida,DLF Mall of India,Mall,2,4.6,0,None,All
308,Uttar Pradesh,Greater Noida,The Grand Venice Mall,Mall,2,4.2,0,None,All
309,Karnataka,Bengaluru,Wonderla Amusement Park,Amusement Park,4,4.5,890,None,All
310,Odisha,Bhubaneswar,Nandankanan Zoological Park,Zoo,3,4.4,50,Monday,Afternoon
311,Karnataka,Bengaluru,Orion Mall,Mall,2,4.5,0,None,All
312,Telangana,Hyderabad,Inorbit Mall Cyberabad,Mall,2,4.5,0,None,All
313,Delhi,New Delhi,Jama Masjid,Mosque,1,4.5,0,None,All
314,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,1.5,4.7,0,None,All
315,Uttar Pradesh,Greater Noida,Buddh International Circuit,Race Track,2,4.6,1500,Sunday,All
316,Uttar Pradesh,Lucknow,Phoenix Palassio,Mall,2,4.6,0,None,All
317,Kerala,Kochi,LuLu International Shopping Mall,Mall,3,4.6,0,None,All
